Track,Album Name,Artist,Release Date,Track Score,Spotify Streams,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),Rema,02-10-2022,180.1,"58,44,27,088",68,"1,14,19,04,909","87,66,235","85,62,16,952","18,21,66,56,774","2,95,28,79,912",138
Supernova,Supernova,ýý$,02-08-2024,179.6,"46,68,87,055",84,"2,76,88,666","4,49,112","3,52,23,547","5,33,22,81,936","3,38,17,299",42
Me Porto Bonito,Un Verano Sin Ti,SZA,12-08-2022,177.7,"1,87,37,46,537",82,"22,05,38,045","31,53,793","15,24,10,048","1,28,44,13,960","42,64,61,749",214
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),Billie Eilish,7/13/2023,177.6,"89,17,20,245",82,"14,47,41,616","27,61,964","49,88,22,693","3,99,80,86,216","1,38,43,10,160",168
Calm Down,Calm Down,Guy Mac,03-03-2023,176.2,"46,567",6,"2,03,84,59,981","60,76,902",35223547,"5,33,22,81,936","11,27,63,851",2
CARNIVAL,CARNIVAL,Glass Animals,6/29/2020,175,"2,99,61,81,078",82,"1,27,28,98,075","1,49,47,520","51,33,34,446","5,51,84,29,969","4,89,93,13,022",459
Kill Bill,SOS,Linkin Park,04-12-2024,174.8,"2,04,55,12,421",82,"11,63,47,040","36,70,188","3,52,23,547","5,33,22,81,936","11,27,63,851",138
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Bizarrap,01-11-2023,174.3,"94,69,41,510",74,"77,64,36,101","1,29,51,756","79,70,17,650","11,93,64,01,096","45,79,87,382",110
Babba,Black Book ID's: Chapter 5 - EP,PowerDress,03-10-2023,173.6,"7,909",4,"1,99,93,74,091","57,08,577",35223547,"5,33,22,81,936","11,27,63,851",138
Heat Waves,Heat Waves,Lil Nas X,3/14/2019,170.3,"1,01,04,94,713",67,"3,20,33,14,695","4,14,87,213","18,73,01,054","1,98,14,31,049","93,97,14,925",63
In the End,Papercuts,Grupo Frontera,4/17/2023,170.2,"1,00,84,95,696",75,"87,88,92,413","44,25,283","12,76,51,887","1,66,90,65,906","1,52,29,34,425",101
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Jawsh 685,4/24/2020,168.9,"42,67,00,979",82,"1,24,89,728","3,39,414","91,99,45,708","12,22,15,14,692","456,78,97,88",75
The Way We Move - Extended Mix,The Way We Move,Dave,06-01-2023,168.1,"69,25,12,930",78,"21,96,66,692","23,32,307","13,05,60,533","1,25,49,44,697","91,81,45,630",155
Old Town Road,Old Town Road,Billie Eilish,5/17/2024,167.8,"16,94,10,711",90,"1,94,02,457","9,97,411","3,52,23,547","5,33,22,81,936","26,03,77,114",185
un x100to,un x100to,KAROL G,2/23/2023,167.8,"1,02,43,81,758",78,"1,10,22,89,596","89,53,293","1,50,48,444","24,81,68,852","1,17,40,53,183",138
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Ed Sheeran,03-03-2017,167.5,"2,96,99,99,682",81,"6,47,36,98,897","3,96,32,673","60,12,44,764","7,64,74,79,866","1,70,83,17,539",208
Sprinter,Sprinter - Single,Farruko,6/24/2021,167.3,"1,50,04,99,584",74,"1,43,15,91,689","1,15,53,088","29,08,11,371","4,06,72,48,819","78,24,75,986",258
CHIHIRO,HIT ME HARD AND SOFT,Dave Angel,1/27/2023,167.2,"8,082",82,"2,05,59,40,513","41,50,967","674,44,45,5","536,33,44,5","536,45,67,6",1
TQG,TQG,Eslabon Armado,3/16/2023,166.5,"1,21,53,36,974",74,"70,18,80,622","38,31,236","5,50,073","1,53,73,104","54,62,59,059",83
Perfect,ýý (Deluxe),Dua Lipa,5/25/2023,166.2,"86,00,26,452",80,"17,30,44,031","16,40,319","9,09,24,917","1,22,78,37,850","1,20,52,66,954",7
Pepas,Pepas,Yng Lvcas,3/17/2023,164.9,"1,03,22,25,805",79,"92,08,78,032","31,18,229","11,60,03,972","2,41,61,41,351","1,69,02,31,413",83
Peekaboo,Glide - Single,21 Savage,01-12-2024,164.8,"42,82,33,003",82,"10,51,48,629","17,62,297","67,32,800","4,39,93,800","97,76,38,660",74
Ella Baila Sola,Ella Baila Sola,Adele,10/14/2021,163.2,"1,72,09,18,065",73,"1,19,48,46,205","1,35,61,925","73,31,01,955","7,86,02,24,413","6,35,35,55,150",325
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Bad Bunny,05-06-2022,163.1,"1,51,42,39,759",77,"1,36,61,81,141","93,58,441","47,56,56,543","5,24,98,63,696","48,80,48,337",150
La Bebe - Remix,La Bebe (Remix),Lil Durk,05-12-2023,162,"33,32,02,114",68,"20,34,87,345","20,84,532","6,32,53,779","74,82,53,884","73,59,08,540",148
redrum,american dream,Taylor Swift,10/21/2022,161.8,"1,56,32,24,246",80,"20,32,59,285","34,82,508","37,66,60,493","3,86,45,05,972","72,49,76,542",261
Easy On Me,Easy On Me,Bizarrap,07-06-2022,161.7,"1,69,29,51,462",78,"1,13,25,39,234","87,95,731","19,66,08,777","2,05,48,26,154","5,66,77,146",99
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,ILLIT,3/25/2024,161,"25,50,76,355",86,"20,22,06,901","25,96,912","5,76,56,713","50,64,76,590","27,35,21,596",67
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Darell,7/28/2023,158.2,"27,53,49,653",70,"34,75,06,860","15,53,295","32,12,39,621","4,76,76,76,439","2,67,68,37,761",19
Anti-Hero,Midnights,Xavi,12-02-2023,155.9,"64,94,04,552",83,"43,38,39,212","27,50,086","4,14,833","1,06,03,563","1,79,59,39,912",29
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",PinkPantheress,02-03-2023,153.6,"85,10,85,705",70,"21,18,10,152","24,61,166","95,52,72,568","8,78,10,20,473","80,64,34,641",162
Magnetic,SUPER REAL ME,SZA,12-09-2022,153.3,"1,01,33,50,808",84,"39,06,77,417","25,21,214","9,78,19,766","88,78,03,828","56,08,93,301",154
Lollipop,EVERYBODY GO TO THE DISCOTEK,Peso Pluma,12-07-2023,153.1,"35,98,03,580",86,"36,93,21,334","18,39,225","7,41,64,945","87,40,56,250","4,12,34,57,278",40
La Diabla,La Diabla - Single,Doja Cat,9/22/2023,152.8,"50,96,53,100",82,"4,80,45,203","9,86,278","8,88,46,508","54,44,37,406","1,56,14,56,615",80
